considerable|adj. 重要的；相当大的；可观的
patronage|n. 赞助；惠顾；委任权
poverty|n. 贫困；短缺
privatise|v. 使私有化；将…私营化
profitability|n. 盈利能力；盈利性；收益率
prosperity|n. 繁荣；兴旺
quota|n. 配额；限额；定额
allotment|n. 分配物；份额；拨款
ransom|n. 赎金；v. 赎回
refund|v. 退还；偿还；n. 退款；返还款
sponsorship|n. 资助；赞助
stock|n. 库存；股票；家畜；v. 备有；贮存
surplus|n. 过剩；盈余；adj. 过剩的
unemployment|n. 失业
detrimental|adj. 有害的；不利的；损害的
effectively|adv. 有效地；实际上
effectiveness|n. 有效性；效力
ineffective|adj. 无效果的；不起作用的；不奏效的
noise|n. 噪声；噪音
situation|n. 情况；形势；情境
limit|n. 限制；v. 限制
disability|n. 无能力；失去能力；伤残
speech|n. 讲话；演说；发言
verbal|adj. 口头的；语言的；用词的；动词的
communication|n. 通信；交流
extremely|adv. 非常地；极其地；极端地
exceptionally|adv. 例外地；异常地；特殊地
intensely|adv. 强烈地；极度；剧烈地
bondage|n. 束缚；奴役
bound|adj. 一定会；有义务的；密切相关的；准备前往；v. 受…限制；v. 捆绑；“bind”的过去式和过去分词
circumscribe|v. 在...周围画线；限制；画外接圆
confine|v. 限制；监禁
fetter|v. 为 ... 上脚镣；束缚；限制；n. 脚镣；桎梏；束缚
quell|v. 压制；平息；消除；减轻
restraint|n. 约束；抑制；克制
restrict|v. 限制；约束
temperance|n. 节欲；戒酒；禁酒
consort|n. （统治者的）配偶；一组；v. 厮混；结交
correspondence|n. 通信联系；符合；一致
disseminate|v. 传播；散播；扩散
impart|v. 传授；给予；告知
liaison|n. 联络；联系；通奸
propagate|v. 繁殖；增殖；传播
propagation|n. 传播；繁殖；增殖
reciprocal|adj. 互惠的；相互的；倒数的；n. 倒数
boredom|n. 无聊；厌倦；厌烦
boring|adj. 无聊的；令人厌倦的；v. 开凿；钻孔；使厌烦； “bore”的现在分词
bothersome|adj. 令人厌烦的；令人烦恼的
disarrange|v. 使紊乱；使混乱；弄乱
distract|v. 转移；分散；使分心
gloomy|adj. 黑暗的；幽暗的；忧郁的；沮丧的
harass|v. 骚扰；烦扰；屡次侵扰
uproar|n. 喧嚣；骚动；吵闹
vex|v. 使恼火；使烦恼
transit|n. 运输；中转；运送；v. 通过；经过；中转
widely-separated|adj. 相隔甚远的；大有分别的；稀疏的
location|n. 位置；地点
place|n. 地方；方位；v. 安置；安放
spot|n. 斑点；圆点；地点；场所；v. 识别；发现；弄脏
astronomer|n. 天文学家
astronomy|n. 天文学
calculate|v. 计算；推测
calculation|n. 计算；计算结果；慎思；考虑
parallax|n. 视差
angle|n. 角；角度；视角；v. 斜放；运用手段获得
angular|adj. 角的；有角的；尖角的；瘦骨嶙峋的
apparent|adj. 明显的；显然的；表面上的
apparently|adv. 据说；似乎；显然地
position|n. 位置；姿势；地位；职位；v. 安置；定位
astronomical|adj. 天文学的；巨大的
observer|n. 观测者；观察员
marked|adj. 明显的；显著的；有记号的；v. 做标记；（使）留痕迹；评分；“mark”的过去式和过去分词
markedly|adv. 显著地；引人注目地
pronounced|adj. 显著的；断然的；明确的；v. 发音；宣告；“pronounce”的过去式和过去分词
sensible|adj. 明智的；有判断力的；恰当的；合理的
sensibility|n. 敏感性；感受力；善感；感情
aerolite|n. 陨石
asteroid|n. 小行星
celestial|adj. 天空的；天体的；天国的
comet|n. 彗星
constellation|n. 星座；一群杰出人物；一系列（相关的想法、事物）
cosmic|adj. 宇宙的；极广阔的
cosmos|n. 宇宙
eclipse|n. 日食；月食；黯然失色；v. 使失色
galaxy|n. 星系；银河；银河系；一群出色的人（或物）
infinite|adj. 无穷的；无限的
intergalactic|adj. 银河间的
interplanetary|adj. 行星间的；太阳系内的
interstellar|adj. 星际的
Jupiter|n. 木星；朱庇特
land|n. 土地；陆地；v. 降落；着陆
launch|v. 发射；发起；启动；掷；n. 发射；投掷；启动
launcher|n. 发射器；启动器；发射台
lunar|adj. 月球的；月亮的；阴历的
Mars|n. 火星
meteor|n. 流星；大气现象
nebula|n. 星云
orbit|n. 轨道；v. 绕...轨道而行
planet|n. 行星
polestar|n. 北极星
revolve|v. 旋转；考虑；围绕
satellite|n. 卫星；人造卫星
star|n. 星；恒星；明星
stellar|adj. 星的；星球的；主要的；一流的
universe|n. 宇宙
Venus|n. 金星；维纳斯
victimise|v. 使受害
pupil|n. 小学生；瞳孔
difficulty|n. 困难；艰难
interpersonal|adj. 人与人之间的；人际关系的
relationship|n. 关系；联系；亲戚关系
while|conj. 当…的时候；尽管；然而；n. 一会儿；一段时间
persistently|adv. 坚持地；锲而不舍地；一直
bully|v. 恐吓；威迫；欺负；n. 仗势欺人者；横行霸道者
grow up|phrase. 长大；成熟；成长
physically|adv. 身体上；物质上；体格上
radical|adj. 根本的；彻底的；激进的；n. 激进分子
convict|v. 定罪；宣判有罪；n. 罪犯；囚犯
anti-social|adj. 反社会的
offence|n. 冒犯；犯罪
bosom friend|phrase. 知己
buddy|n. 老兄；伙计；同伴
colleague|n. 同事
companion|n. 同伴；伴侣
comrade-in-arms|phrase. 战友
confidante|n. 女性知己
mentor|n. 导师；顾问；v. 指导；辅导
partner|n. 合伙人；搭档
pen pal|phrase. 笔友
sworn brother|phrase. 结拜兄弟；死党
blunt|adj. 不锋利的；耿直的；v. 使变钝
bluntly|adv. 坦率地；率直地
contact|n. 接触；联系；v. 接触；联系
couple|n. （一）对；几个；夫妻；v. 连合；连接；结合
cultural difference|phrase. 文化差异
easy-going|adj. 随和的；容易相处的
extroverted|adj. 外向的；喜欢交际的
fellow-apprentice|n. 师兄弟；同门；同修
harmony|n. 和谐；协调
introverted|adj. 内向的
offend|v. 冒犯；得罪；违反；犯罪
social skill|phrase. 社交能力；社交技能
abuse|v. 滥用；虐待；辱骂；n. 滥用；虐待；辱骂
campus violence|phrase. 校园暴力
school bullying|phrase. 校园欺凌
classmate|n. 同班同学；同学
cruel|adj. 残酷的；冷酷的
fight|v. 打架；战斗；n. 打架；战斗
ill-treat|v. 虐待
juvenile delinquency|phrase. 青少年犯罪
maltreat|v. 虐待
slap|v. 拍；掴；拍击；n. 拍；掴；拍击
aggressive behaviour|phrase. 攻击性行为；激进行为
antisocial behaviour|phrase. 反社会行为
commit crimes|phrase. 犯罪
domestic violence|phrase. 家庭暴力
forcible|adj. 强制的；强迫的；强有力的
gangster|n. 歹徒；匪徒；暴徒
life imprisonment|phrase. 终生监禁；无期徒刑
malice|n. 恶意；怨恨；蓄意
motive for crime|phrase. 犯罪动机
punishment|n. 处罚；惩罚
school shooting|phrase. 校园枪击（案）
the incidence of crime|phrase. 犯罪率
to fight crime|phrase. 打击犯罪
violate|v. 违反；侵犯
violation|n. 违反；妨碍；侵犯；违背
violence|n. 暴力；暴行
violent inclination|phrase. 暴力倾向
abduction|n. 诱拐；绑架
adultery|n. 通奸；婚外性行为
breach|n. 缺口；破裂；违背；v. 在…上造成缺口；违反；攻破
bribery|n. 受贿；行贿
calumny|n. 诬蔑；诽谤；中伤
contravene|v. 违反；触犯
corruption|n. 贪污；堕落；腐败
delinquency|n. （常指青年人的）犯罪
embezzlement|n. 盗用公款；贪污；挪用
harbour|n. 海港；v. 庇护；窝藏
homicide|n. 凶杀；杀人
larceny|n. 盗窃（罪）
perjury|n. 伪证；伪证罪
slander|v. 诋毁；诽谤；中伤；n. 诋毁；诽谤；中伤
smuggle|v. 走私；偷运
swindle|v. 诈骗；骗取；n. 诈取；骗局
negative|adj. 否定的；消极的；负面的；n. 否定的表达；负数；底片
organisation|n. 机构；组织；安排，筹备
depend|v. 依靠；依赖；取决于
dependable|adj. 可信赖的；可靠的
decision|n. 决定；抉择；选择
efficient|adj. 效率高的
efficiency|n. 效率；功效
charity|n. 慈善；慈善团体
commonwealth|n. 联邦；共和国；联合体
company|n. 公司；陪伴
denomination|n. 宗派；教派；面额
institution|n. 机构；风俗；制度；制定
organize|v. 组织；安排
arrange|v. 安排，排列；改编（乐曲）
incur|v. 招致；遭受
inflict|v. 把…强加给；使遭受；使承受
infliction|n. 施以；使负担
suffer|v. 遭受；忍受
withstand|v. 抵挡；经受住
ambassador|n. 大使
aristocrat|n. 贵族
autocrat|n. 独裁者
commander|n. 司令官；指挥官
congressman|n. 国会议员；众议员
congresswoman|n. 众议院女议员；国会女议员
consul|n. 领事
democrat|n. 民主主义者；民主党员
dictator|n. 独裁者；专制者
emperor|n. 皇帝；帝王
envoy|n. 使节；特使；外交使节
feminist|n. 女权主义者；adj. 女权主义的
minister|n. 部长；大臣；牧师
monarch|n. 君主；帝王
monarchy|n. 君主制；君主政体；君主国
president|n. 总统；总裁；主持人；校长；行长
chairman|n. 主席；主持人；董事长
republican|adj. 共和国的；共和政体的；n. 共和党人
advocator|n. 拥护者；提倡者
arbitrator|n. 仲裁人；公断人
attorney|n. 律师；辩护律师；代理人
jury|n. 陪审团；评委会
lawyer|n. 律师
solicitor|n. 事务律师；初级律师
alumnus|n. 男毕业生；男校友
dean|n. 学院院长；系主任
lecturer|n. 演讲者；讲师；授课老师
professor|n. 教授；导师
agent|n. 代理人；经纪人；动因；特工；（药）剂
apprentice|n. 学徒；徒弟；v. 使当学徒
apprenticeship|n. 学徒期；学徒身份
attendant|n. 服务人员；adj. 伴随的
auditor|n. 审计员；（大学课程的）旁听生；（一名）听众
co-worker|n. 同事；共同工作者
delegate|v. 委派；授权；n. 代表
deputy|n. 代理人；副手
novice|n. 新手；初学者；新信徒
proprietor|n. 所有者；经营者 ；业主
proxy|n. 代理人；代表；代理权；代理服务器
representative|n. 代表；典型事物；adj. 典型的；有代表性的；代议制的
adherent|n. 拥护者；信徒；adj. 黏附…的
atheist|n. 无神论者
believer|n. 信仰者；信徒；相信…者
clergy|n. 神职人员
disciple|n. 信徒；弟子；门徒
skeptic|n. 怀疑论者；怀疑宗教主张的人；无神论者
zealot|n. 热心者；狂热者
assassin|n. 暗杀者；刺客
bandit|n. 强盗；土匪；盗匪
barbarian|n. 野蛮人；adj. 野蛮的
burglar|n. 窃贼；夜盗
robber|n. 强盗；抢劫犯；盗贼
exile|n. 流放；放逐；流亡；v. 流放；放逐；流亡
figurehead|n. 装饰船头的人像；傀儡领袖；有名无实的首脑
foe|n. 敌人；仇敌
malcontent|adj. 不满的；不服的；n. 不满现状的人；反抗者
artisan|n. 技工；工匠
artist|n. 艺术家；画家
aviator|n. 飞行员；飞机驾驶员
biographer|n. 传记作者
biography|n. 传记
choreographer|n. 舞蹈指导；编舞者
connoisseur|n. 鉴识家；内行
critic|n. 评论家；批评者
educator|n. 教育家；教育者
pilot|n. 飞行员；驾驶员
benefactor|n. 恩人；捐助者；赠送者
beneficiary|n. 受益人
donor|n. 捐赠者；赠与者
humanitarian|n. 人道主义者；慈善家；adj. 人道主义的；慈善的
resident|n. 常住居民；adj. 居住的；常驻的
spectator|n. 观众；旁观者
viewer|n. 观察者；观看者；电视观众
audience|n. 观众；听众
create|v. 创造；创作
creation|n. 创作；创造物
link|n. 连接物；链环；v. 连接；联系
database|n. 数据库；信息库
feed|v. 喂；吃；饲养；n. 饲养；喂养
measurement|n. 衡量；测量
survey|v. 调查；勘测；n. 调查；勘测
field survey|phrase. 实地调查；实地考察
drone|n. 雄蜂；嗡嗡声；絮叨；寄生虫；无人驾驶飞机；v. 嗡嗡响；絮絮叨叨地说；混日子
satellite imagery|phrase. 卫星图像
real-time|adj. 实时的；接到指示立即执行的
data|n. 数据；资料
agrarian|adj. 土地的；耕地的；农业的
arable|adj. 可耕的；适于耕种
arid|adj. 干旱的；贫瘠的；枯燥无趣的
bleak|adj. 荒凉的；阴冷的；凄凉的；无望的；沮丧的
cold|n. 寒冷；感冒；adj. 寒冷的；冰冷的
dismal|adj. 阴沉的；抑郁的；沮丧的
clay|n. 黏土；粘土
clod|n. 大泥块；大土块；笨蛋；傻瓜
contaminated land|phrase. 污染的土地
contaminated soil|phrase. 污染土壤
desert|n. 沙漠；荒漠；v. 抛弃
infertile|adj. 不育的；不结果实的；贫瘠的
fertile|adj. 肥沃的；多产的；富饶的；有繁殖力的
land carrying capacity|phrase. 土地资源承载力
sterile|adj. 不能生育的；无菌的；贫瘠的
topsoil|n. 表土；表土层
provide|v. 提供；供应
accommodate|v. 容纳；为...提供住宿；适应
furnish|v. 布置家具；配备；供给；提供
unfurnish|v. 搬走...的家具；拆除...的家具
provision|n. 供应；预备；储粮；规定；条款
preparation|n. 准备；预备
enquire|v. 询问；调查
fieldwork|n. 野外考察；实地调查
investigate|v. 调查；研究
observation|n. 观察；观测；注意；监视；（观察后的）意见
observational|adj. 观察的；观测的
observe|v. 观察；注意到；遵守；评论；庆祝
perspective|n. 视角；观点；（对事物的）合理判断；透视；（远）景
probe|n. 探针；探测器；探究；v. 探究；探查
questionary|n. 调查表；adj. 询问的
continue|v. 继续；连续
discontinue|v. 停止；终止；中断
National Trust|n. 国民托管组织（英国保护名胜古迹的私人组织）
conservator|n. 文物保护者
mobilise|v. 调动；动员
local|adj. 局部的；本地的
stationer|n. 文具商
especially|adv. 尤其；特别；专门
bulk|n. 巨大的东西；大量；大部分；体积
blotting paper|phrase. 吸墨纸
desperately|adv. 绝望地；拼命地；不顾一切地；极度地
anguish|n. （身体或精神的）极度痛苦
avalanche|n. 雪崩；纷至沓来
calamity|n. 大灾祸；灾难
casualty|n. 伤亡（人数）；受伤的人；事故；临时救治所；急诊室
cataclysm|n. 大灾难；洪水；剧变
catastrophe|n. 灾难
catastrophic|adj. 灾难性的
debris|n. 碎片；残骸；残渣
deluge|n. 大洪水；暴雨；泛滥；v. 泛滥；大量涌入
destroy|v. 破坏；摧毁
disaster|n. 灾害；灾难
disastrous|adj. 灾难性的
famine|n. 饥荒
massacre|v. 屠杀 ；n. 大屠杀
misfortune|n. 不幸；灾祸
fortune|n. 命运；财产；运气
mishap|n. 不幸之事；灾祸；恶运
slaughter|v. 屠宰；屠杀；n. 屠宰；屠杀
persecute|v. 迫害；烦扰
unfortunate|adj. 不幸的；倒霉的；n. 不幸的人
upheaval|n. 剧变；动乱
victim|n. 受害者
sacrifice|v. 牺牲；献出；供奉；n. 供奉；祭品；牺牲（品）
wreckage|n. 破片；残骸
impulse|n. 冲动；脉冲；冲动力
impulsive|adj. 凭冲动行事的；易冲动的
momentum|n. 动量；冲力；推进力；动力；势头
motivate|v. 引起动机；激发；激励
motivation|n. 动机；动力
motivational|adj. 激发性的；动机的
motive|n. 动机；目的
accidental explosion|phrase. 意外爆炸
alarm bell|phrase. 警铃；警钟
blast|n. 爆炸；一阵强劲的气流；突然的响声；v. 爆破；产生巨大噪声
burning area|phrase. 燃烧区域；燃烧面积
burning intensity|phrase. 燃烧强度
collapse|v. 倒塌；昏倒；暴跌；折叠；n. 倒塌；崩溃；病倒；暴跌
combustible|adj. 易燃的；燃烧性的；易激动的；n. 燃质物；可燃物
death by burning|phrase. 火刑；烧死
death count|phrase. 死亡人数
devastating effect|phrase. 毁灭性影响
elevated temperature|phrase. 高温
elevator|n. 电梯；升降机
emergency exit|phrase. 紧急出口
extinguish|v. 熄灭；扑灭
fire alarm|phrase. 火警
fire engine access|phrase. 消防通道
fire engine|phrase. 消防车
fire extinguisher|phrase. 灭火器
fire hydrant|phrase. 消防栓
fire injury|phrase. 火灾伤害
fire inspection|phrase. 消防检查
fire insurance|phrase. 火灾保险
fire telephone|phrase. 火警电话；消防电话
firefighting|n. 消防；防火
fireman|n. 消防队员
firefighter|n. 消防员
first aid telephone|phrase. 急救电话
first aid|phrase. 急救
inhibition|n.  禁止；抑制；压抑
lifesaver|n. 救命者；水难救生员；济急的人
origin of the fire|phrase. 火源
oxygen deficiency|phrase. 缺氧
perish|v. 死；暴卒；毁灭
poisonous atmosphere|phrase. 有毒的空气；紧张的氛围
refuge|n. 避难所；庇护
relief work|phrase. 救济工作
rescue|n. 救援；营救；v. 救援；营救
save|v. 保存；节省；拯救；prep. 除...之外；除了；conj. 若不是；除了
self-contained breathing equipment|phrase. 自给式呼吸设备
smoke|v. 抽烟；冒烟；n. 烟；烟雾
stair|n. 楼梯；梯级
suffocation|n. 窒息；闷死
water|n. 水；v. 给…浇水；给（某地）供水
physics|n. 物理学
immense|adj. 巨大的
demonstrate|v. 演示；展示；证明；示威
illustrate|v. （举例）说明；给（书籍、杂志等）加插图
subsequent|adj. 随后的；后来的
subsequently|adv. 随后；后来
nuclear|adj. 原子能的；核能的
physicist|n. 物理学家
chemist|n. 化学家； 药剂师
colossal|adj. 巨大的；庞大的
enormous|adj. 巨大的；庞大的；大量的
enormously|adv. 极度；大量
gigantic|adj. 巨大的；庞大的
tiny|adj. 极小的；微小的；微量的
microscopic|adj. 显微镜的；极小的；微观的
immeasurable|adj. 不可估量的；不可测量的；无限的
incalculable|adj. 无数的；不可计算的；不可预料的
mammoth|adj. 巨大的；庞大的；n. 猛玛（象）；庞然大物
mighty|adj. 强大的；有力的；巨大的；adv. 非常；很；极其
prodigious|adj. 巨大的；惊人的；奇异的
tremendous|adj. 巨大的；极大的
vast|adj. 巨大的；辽阔的
vastness|n. 巨大；广阔
vastly|adv. 极大地；非常地
celebrated|adj. 著名的；v. 庆祝；“celebrate”的过去式和过去分词
complimentary|adj. 赞美的；称赞的；免费赠送的
eminent|adj. 著名的；非凡的；杰出的
entitle|v. 授权；命名；给...权利（或资格）
laudable|adj. 应受赞扬的；值得赞美的
legendary|adj. 传奇的；传说的；享有盛名的
lofty|adj. 高的；崇高的；傲慢的
matchless|adj. 无与伦比的；无双的；无可匹敌的
notable|adj. 值得注意的；显著的；著名的；n. 名人；显要人物
notably|adv. 显著地；尤其；特别地
noteworthy|adj. 值得注意的；显著的
noted|adj. 著名的；闻名的；显著的；v. 注意；备注；“note”的过去式和过去分词
pre-eminent|adj. 杰出的；卓越的；出类拔萃的
prominent|adj. 突出的；显著的；杰出的
renowned|adj. 有名的；有声誉的
supreme|adj. 至上的；¸高的
commend|v. 推荐；表扬；举荐
compliment|v. 称赞；恭维；n. 称赞；恭维
laud|v. 称赞；赞美；n. 赞颂；赞美
deference|n. 尊重；遵从；听从
dignify|v. 使有尊严；使崇高；使显贵
dignified|adj. 高贵的；有尊严的
prestige|n. 声望；威望；威信
respect|v. 尊重；尊敬；遵从；n. 尊重；尊敬；方面
respectable|adj. 可敬的；值得尊敬的；体面的；可观的
revere|v. 尊敬；敬畏
reverence|n. 尊敬；尊崇
accelerator|n. 加速器；油门；促进剂
atom|n. 原子
beam|n. 光线；横梁；v. 眉开眼笑；发射（电波或光）
chafe|v. 摩擦；擦痛；惹怒；n. 擦伤；激怒
clutter|n. 杂乱；混乱；v. 弄乱
cohesion|n. 内聚性；团结；凝聚力
concave|adj. 凹的；凹面的
conduction|n. （热或电等能量的）传导；导热；导电
convex|adj. 凸出的；凸面的
decelerate|v. （使）减速
declivity|n. 斜坡；坡度；下斜
dilute|v. 稀释；adj. 经稀释的
distillation|n. 蒸馏（过程）；净化（过程）；升华
elasticity|n. 弹性；伸缩性
elastic|adj. 有弹性的；灵活的
electricity|n. 电学；电力
electron|n. 电子
focus|n. 中心点；焦点；v. 集中；聚焦
gravity|n. 重力；地心引力；严重性
inertia|n. 惯性；惰性
intensity|n. 强度；强烈；剧烈
liquid|n. 液体；adj. 液体的；液态的
magnetic|adj. 磁性的；有吸引力的
matter|n. 事情；物质；问题；麻烦；v. 要紧
mechanics|n. 力学；机械学；构成法；运作方式；n. 技工；机械师；机修工；“mechanic”的复数
neutron|n. 中子
nucleus|n. 核心；核子
precipitate|v. 使发生；沉淀；凝结；猛摔；n. 沉淀物；冷凝物；adj. 迅猛的；贸然轻率的
pressure|n. 压力；压强；压迫；v. 对…施加压力
proton|n. 质子
quantum|n. 量子
refraction|n. 折光；折射
resonance|n. 共鸣；共振；反响
solid|n. 固体；立体图形；adj. 固体的；坚固的；可靠的
temperature|n. 温度；气温；体温
thaw|v. 使融解；解冻；变缓和；n. 融雪
thermodynamics|n. 热力学
thermometer|n. 温度计；体温表
vector|n. 向量；矢量；带菌媒介；航向
velocity|n. 速度；速率；迅速
speed|n. 速度；速率；v. 加速；加快
rapidity|n. 迅速；急速
ventilation|n. 通风；通风装置
taxonomist|n. 分类学者
taxonomy|n. 分类学；（动、植物）分类
overlook|v. 忽略；俯视
forget|v. 忘记；遗忘
ecology|n. 生态；生态学
limited|adj. 有限的；v. 限制；“limit”的过去式和过去分词
specimen|n. 标本；样品
sample|n. 样品；样本；v. 尝试，体验；抽样；节录
taxonomic|phrase. 分类学的；分类的
investigation|n. 调查； 研究
devalue|v. 使贬值；贬低
estimate|v. 估算；估价；n. 估价；估算
ETA|abbr. 预计到达时间；“estimated time of arrival”的缩写
ETD|abbr. 预计离开时间；“Estimated Time of Departure”的缩写
evaluate|v. 估价；评价
profitable|adj. 有益的；有利可图的
unprofitable|adj. 不赢利的；无利可图的；没有用的
worthless|adj. 无价值的
worthy|adj. 值得尊敬的；值得…的
unworthy|adj. 不值得的；不配的；与…不相称的；不应得的
behalf|n. 代表；利益；支持
bolster|v. 增强；提高；n. 长枕；垫枕
endorse|v. 签署；背书；支持；赞同
supportive|adj. 支持的；支援的；给予帮助的
sustain|v. 支撑；承受；维持
sustainable|adj. 可以忍受的；可支撑的；可持续的
sympathetic|adj. 同情的
check|v. 检查；核实；克制；n. 检查；支票；方格图案
checker|n. 检验员；审核员；检验机；方格图案；v.  使呈现方格图案或不同颜色
check-in|n. 签到；登记处
check-out|n. 检验；付款处；结账
checklist|n. 清单；检查表；备忘录；目录册
checked|adj. 有格子的；有格子花纹的；v. 检查；“check”的过去式和过去分词
check-up|n. 检查；体格检查
examine|v. 检验；审查；调查
examiner|n. 考官；主考人；检查员
examination|n. 考试；检查；审查
inspect|v. 检查；视察
inspector|n. 检查员；巡视员；视察员
countless|adj. 无数的；多的；数不清的
fraught|adj. 充满（不愉快事物）的；焦虑的
innumerable|adj. 无数的；数不清的
majority|n. 大多数；大部分
quantitative|adj. 数量的；定量的
quantity|n. 量；数量；大量
redundant|adj. 多余的；过剩的；被裁减的
suffuse|v. 弥漫于；充满；扩散；布满
total|n. 总额；总计；v. 共计；总数达；adj. 总的；全部的
volume|n. 卷；册；体积；音量
dearth|n. 缺乏；不足
deficient|adj. 不足的；缺乏的；有缺陷的
inadequate|adj. 不充分的； 不足的；能力不足的
lacking|adj. 缺乏的；不足的；v. 缺乏；短缺；“lack”的现在分词
paucity|n. 不足；缺乏
rareness|n. 稀罕；珍奇；稀薄
scant|adj. 一丁点的；微小的；不足的；欠缺的
scarce|adj. 缺乏的；不足的；稀有的
skimpy|adj. 短小的；少量的；贫乏的；不足的；吝啬的
sole|n. 鞋底；脚掌；adj. 仅有的；唯一的
solitary|adj. 独自的；单独的；孤寂的
sparse|adj. 稀少的；稀疏的
sparsely|adv. 稀少地；稀疏地
sporadic|adj. 不定时发生的；时有时无的；零星的
sporadically|adv. 间断发生地；零星地
combine ... with ...|phrase. 结合
oppose|v. 反对；反抗
characteristic|adj. 典型的；特有的；n. 特点；特性
confidence|n. 信心；信任；秘密；私事
capable|adj. 有能力的
anxiety|n. 忧虑；焦虑；渴望
directory|n. 姓名地址录；目录；指南
aghast|adj. 惊骇的；吓呆的
appall|v. 使胆寒；使惊骇
appalling|adj. 骇人的；可怕的；质量极差的；v. 使胆寒；使惊骇；“appall”的现在分词
cowardly|adj. 怯懦的；胆小的；adv. 胆怯地
bold|adj. 大胆的；醒目的；粗体的；无畏的；莽撞的
cower|v. 畏缩；退缩；抖缩
recoil|v. 反冲；弹回；报应；退缩；n. 反冲力；弹回；畏缩
craven|adj. 懦弱的；毫无志气的；n. 怯懦者
creepy|adj. 令人毛骨悚然的；令人不寒而栗的
dread|v. 害怕；畏惧；n. 恐惧；畏惧
dreadful|adj. 可怕的；恐惧的；令人不快的
fear|v. 害怕；惧怕；n. 害怕；惧怕
flutter|v. 振翼；颤动；飘动；挥动；n. 鼓翼；飘扬；激动不安
formidable|adj. 可怕的；令人敬畏的；难以对付的
frightening|adj. 引起恐惧的；使惊恐的；骇人的；v. 使惊吓；使惊恐；“frighten”的现在分词
fright|n. 惊吓；恐怖；惊骇
horrify|v. 使恐怖；使震惊
horror|n. 恐惧
intimidate|v. 胁迫；威胁；恐吓
frighten|v. 使惊吓；使惊恐
menace|n. 威胁；恐吓；危险物；v. 威胁；恐吓
panic|n. 恐慌；惊恐；v. 使…惊慌；感到恐慌
petrified|adj. 吓呆的；惊呆的；目瞪口呆的；v. （使）石化；（使）僵化；吓呆；“petrify”的过去式和过去分词
petrify|v. 使石化；使僵化；吓呆
scare|n. 惊吓；惊恐；v. 惊吓；使害怕
terrified|adj. 恐惧的；受惊吓的；v. 使恐惧；使惊吓；“terrify”的过去式和过去分词
terrify|v. 使恐惧；使惊吓
terror|n. 恐怖；恐惧
terrorise|v. 恐吓；恫吓
threaten|v. 威胁；恐吓
timid|adj. 胆小的；羞怯的
timidity|n. 胆怯；胆小；羞怯
timidly|adv. 胆小地；羞怯地
tremble|v. 发抖；打颤；战栗；焦虑；n. 震颤；发抖；战栗；焦虑
trembling|n. 发抖；adj. 发抖的；v. 发抖；打颤；战栗；焦虑；“tremble”的现在分词
trepidation|n. 惊恐；惶恐；战栗
xenophobic|adj. 仇外的；排外的
ability|n. 能力；才能
capability|n. 能力；才能；性能
competence|n. 能力；胜任；本领
disposition|n. 性情；意向；处置
nature|n. 自然；本性
fortitude|n. 刚毅；坚忍
spunk|n. 勇气；胆量；决心
quality|n. 质量；素质；品质
resourceful|adj. 资源丰富的；机敏的；足智多谋的
skillful|adj. 有技巧的；熟练的；灵巧的
stamina|n. 精力；体力；耐力
endurance|n. 耐力；持久
talent|n. 才能；天才
temperament|n. 气质；性情；易激动；急躁
versatile|adj. 多才多艺的；有多种技能的；多方面的
many-sided|adj. 多方面的
talented|adj. 天赋高的；有才能的；有才干的
all-around|adj. 全面的
vigor|n. 精力；活力
radically|adv. 彻底地；根本地
extensive|adj. 广大的；广阔的；广泛的；大量的
complex|adj. 复杂的；费解的；n. 综合楼（群）；情结
simple|adj. 简单的；朴素的；单纯的
professional|adj. 专业的；职业的；n. 专业人士
dedicated|adj. 专注的；献身的；专用的；v. 奉献；献身；致力；“dedicate”的过去式和过去分词
staff|n. 职员；全体职工；棍棒；拐杖；v. 为…配备职员
personnel|n. 职员；全体人员；人事部
adviser|n. 顾问；提供意见者
adaptability|n. 适应能力
creative|adj. 有创造力的
decisive|adj. 决定性的；果断的
determination|n. 决心；坚定；测定
diligent|adj. 勤勉的；勤奋的
discretion|n. 谨慎；慎重；自行决定
extroversive|adj. 外向的；外翻的
innovative|adj. 革新的；新颖的；富有革新精神的
leadership|n. 领导才能；领导地位
mastermind|v. 策划；n. 决策者；出谋划策者
obliged|adj. 感激的；感谢的；v. 迫使；责成；施惠；“oblige”的过去式和过去分词
problem-solving|n. 解决问题
prudential|adj. 谨慎的；细心的；深谋远虑的
teamwork|n. 团队合作；协同工作
commitment|n. 承诺；奉献
dedication|n. 献身；奉献；献词
devote|v. 投入；献身
devotion|n. 献身；热爱；奉献
buyer|n. 买方；采购员
CEO|abbr. 执行总裁；首席执行长官；“Chief Executive Officer”的缩写
Chief Executive Officer|n. 首席执行官
controller|n. 管理者；控制者；控制器；财务总管
GM|abbr. 总经理；“General Manager”的缩写
General Manager|n. 总经理
manager|n. 经理；管理者
seniority|n. 资历；年长；级别高
subordinate|adj. 次要的；附属的；n. 下属；从属物；v. 使居于次要
subordination|n. 放置在次级；次级；附属
supervisory|adj. 管理的；监控的
appoint|v. 任命；委派；约定；指定
audition|n. 试听；试唱；试演；听力；v. 试听；试音；试镜；让…试演
career advisor|phrase. 职业顾问
career objective|phrase. 职业目标；求职目标
career|n. 事业；生涯
chore|n. 家务活；杂事；令人讨厌的或繁重的工作
